_id,libno,time,in,out
1,775100,2019-07-01T06:00:00,8,2
2,775100,2019-07-01T07:00:00,70,7
3,775100,2019-07-01T08:00:00,187,31
4,775100,2019-07-01T09:00:00,220,98
5,775100,2019-07-01T10:00:00,472,264
6,775100,2019-07-01T11:00:00,562,479
7,775100,2019-07-01T12:00:00,516,507
8,775100,2019-07-01T13:00:00,430,512
9,775100,2019-07-01T14:00:00,484,517
10,775100,2019-07-01T15:00:00,470,577
11,775100,2019-07-01T16:00:00,278,506
12,775100,2019-07-01T17:00:00,191,265
13,775100,2019-07-01T18:00:00,95,170
14,775100,2019-07-01T19:00:00,77,93
15,775100,2019-07-01T20:00:00,59,93
16,775100,2019-07-01T21:00:00,24,46
17,775100,2019-07-01T22:00:00,5,10
18,775100,2019-07-02T06:00:00,11,2
19,775100,2019-07-02T07:00:00,65,3
20,775100,2019-07-02T08:00:00,213,33
21,775100,2019-07-02T09:00:00,331,92
22,775100,2019-07-02T10:00:00,483,306
23,775100,2019-07-02T11:00:00,513,516
24,775100,2019-07-02T12:00:00,558,520
25,775100,2019-07-02T13:00:00,550,492
26,775100,2019-07-02T14:00:00,514,678
27,775100,2019-07-02T15:00:00,416,615
28,775100,2019-07-02T16:00:00,303,449
29,775100,2019-07-02T17:00:00,228,374
30,775100,2019-07-02T18:00:00,141,197
31,775100,2019-07-02T19:00:00,106,133
32,775100,2019-07-02T20:00:00,73,127
33,775100,2019-07-02T21:00:00,34,60
34,775100,2019-07-02T22:00:00,5,9
35,775100,2019-07-03T06:00:00,8,0
36,775100,2019-07-03T07:00:00,65,6
37,775100,2019-07-03T08:00:00,183,39
38,775100,2019-07-03T09:00:00,292,105
39,775100,2019-07-03T10:00:00,515,261
40,775100,2019-07-03T11:00:00,488,477
41,775100,2019-07-03T12:00:00,535,535
42,775100,2019-07-03T13:00:00,509,485
43,775100,2019-07-03T14:00:00,524,590
44,775100,2019-07-03T15:00:00,462,632
45,775100,2019-07-03T16:00:00,354,567
46,775100,2019-07-03T17:00:00,253,318
47,775100,2019-07-03T18:00:00,159,266
48,775100,2019-07-03T19:00:00,89,131
49,775100,2019-07-03T20:00:00,49,97
50,775100,2019-07-03T21:00:00,24,41
51,775100,2019-07-03T22:00:00,13,13
52,775120,2019-07-01T06:00:00,0,1
53,775120,2019-07-01T07:00:00,1,1
54,775120,2019-07-01T08:00:00,3,1
55,775120,2019-07-01T09:00:00,18,11
56,775120,2019-07-01T10:00:00,35,41
57,775120,2019-07-01T11:00:00,36,32
58,775120,2019-07-01T12:00:00,49,43
59,775120,2019-07-01T13:00:00,45,48
60,775120,2019-07-01T14:00:00,51,42
61,775120,2019-07-01T15:00:00,60,62
62,775120,2019-07-01T16:00:00,55,63
63,775120,2019-07-01T17:00:00,40,44
64,775120,2019-07-01T18:00:00,18,17
65,775120,2019-07-01T19:00:00,13,19
66,775120,2019-07-01T20:00:00,17,20
67,775120,2019-07-01T21:00:00,13,14
68,775120,2019-07-02T06:00:00,1,1
69,775120,2019-07-02T07:00:00,6,4
70,775120,2019-07-02T08:00:00,11,8
71,775120,2019-07-02T09:00:00,22,15
72,775120,2019-07-02T10:00:00,53,47
73,775120,2019-07-02T11:00:00,40,49
74,775120,2019-07-02T12:00:00,34,33
75,775120,2019-07-02T13:00:00,35,34
76,775120,2019-07-02T14:00:00,52,46
77,775120,2019-07-02T15:00:00,50,50
78,775120,2019-07-02T16:00:00,65,58
79,775120,2019-07-02T17:00:00,45,59
80,775120,2019-07-02T18:00:00,9,16
81,775120,2019-07-02T19:00:00,15,12
82,775120,2019-07-02T20:00:00,8,11
83,775120,2019-07-02T21:00:00,4,6
84,775120,2019-07-02T22:00:00,0,1
85,775120,2019-07-03T07:00:00,2,3
86,775120,2019-07-03T08:00:00,4,3
87,775120,2019-07-03T09:00:00,10,3
88,775120,2019-07-03T10:00:00,40,34
89,775120,2019-07-03T11:00:00,35,45
90,775120,2019-07-03T12:00:00,20,12
91,775120,2019-07-03T13:00:00,51,45
92,775120,2019-07-03T14:00:00,36,36
93,775120,2019-07-03T15:00:00,28,28
94,775120,2019-07-03T16:00:00,49,45
95,775120,2019-07-03T17:00:00,33,35
96,775120,2019-07-03T18:00:00,15,13
97,775120,2019-07-03T19:00:00,18,15
98,775120,2019-07-03T20:00:00,4,5
99,775120,2019-07-03T21:00:00,5,9
100,775126,2019-07-01T13:00:00,2,2
