_id,time,count
1,2015-08-01T00:00:00,2
2,2015-08-01T01:00:00,1
3,2015-08-01T02:00:00,2
4,2015-08-01T04:00:00,1
5,2015-08-01T06:00:00,1
6,2015-08-01T07:00:00,3
7,2015-08-01T08:00:00,7
8,2015-08-01T09:00:00,1
9,2015-08-01T10:00:00,11
10,2015-08-01T11:00:00,425
11,2015-08-01T12:00:00,562
12,2015-08-01T13:00:00,813
13,2015-08-01T14:00:00,791
14,2015-08-01T15:00:00,686
15,2015-08-01T16:00:00,543
16,2015-08-01T17:00:00,36
17,2015-08-01T18:00:00,25
18,2015-08-01T19:00:00,3
19,2015-08-01T20:00:00,1
20,2015-08-01T21:00:00,3
21,2015-08-01T22:00:00,1
22,2015-08-02T00:00:00,3
23,2015-08-02T01:00:00,1
24,2015-08-02T02:00:00,2
25,2015-08-02T03:00:00,1
26,2015-08-02T04:00:00,1
27,2015-08-02T05:00:00,1
28,2015-08-02T06:00:00,2
29,2015-08-02T08:00:00,1
30,2015-08-02T09:00:00,7
31,2015-08-02T10:00:00,22
32,2015-08-02T11:00:00,262
33,2015-08-02T12:00:00,364
34,2015-08-02T13:00:00,466
35,2015-08-02T14:00:00,426
36,2015-08-02T15:00:00,470
37,2015-08-02T16:00:00,357
38,2015-08-02T17:00:00,32
39,2015-08-02T18:00:00,6
40,2015-08-02T19:00:00,1
41,2015-08-02T20:00:00,2
42,2015-08-02T22:00:00,3
43,2015-08-02T23:00:00,2
44,2015-08-03T00:00:00,2
45,2015-08-03T02:00:00,1
46,2015-08-03T03:00:00,1
47,2015-08-03T05:00:00,3
48,2015-08-03T06:00:00,12
49,2015-08-03T07:00:00,9
50,2015-08-03T08:00:00,33
51,2015-08-03T09:00:00,129
52,2015-08-03T10:00:00,195
53,2015-08-03T11:00:00,405
54,2015-08-03T12:00:00,607
55,2015-08-03T13:00:00,729
56,2015-08-03T14:00:00,770
57,2015-08-03T15:00:00,731
58,2015-08-03T16:00:00,701
59,2015-08-03T17:00:00,527
60,2015-08-03T18:00:00,322
61,2015-08-03T19:00:00,231
62,2015-08-03T20:00:00,179
63,2015-08-03T21:00:00,106
64,2015-08-03T22:00:00,34
65,2015-08-03T23:00:00,3
66,2015-08-04T00:00:00,1
67,2015-08-04T02:00:00,1
68,2015-08-04T03:00:00,2
69,2015-08-04T05:00:00,2
70,2015-08-04T06:00:00,7
71,2015-08-04T07:00:00,11
72,2015-08-04T08:00:00,46
73,2015-08-04T09:00:00,144
74,2015-08-04T10:00:00,186
75,2015-08-04T11:00:00,510
76,2015-08-04T12:00:00,599
77,2015-08-04T13:00:00,604
78,2015-08-04T14:00:00,691
79,2015-08-04T15:00:00,710
80,2015-08-04T16:00:00,589
81,2015-08-04T17:00:00,350
82,2015-08-04T18:00:00,183
83,2015-08-04T19:00:00,122
84,2015-08-04T20:00:00,45
85,2015-08-04T21:00:00,20
86,2015-08-04T22:00:00,20
87,2015-08-04T23:00:00,9
88,2015-08-05T00:00:00,1
89,2015-08-05T01:00:00,1
90,2015-08-05T05:00:00,3
91,2015-08-05T06:00:00,5
92,2015-08-05T07:00:00,11
93,2015-08-05T08:00:00,44
94,2015-08-05T09:00:00,134
95,2015-08-05T10:00:00,217
96,2015-08-05T11:00:00,410
97,2015-08-05T12:00:00,618
98,2015-08-05T13:00:00,725
99,2015-08-05T14:00:00,648
100,2015-08-05T15:00:00,569
101,2015-08-05T16:00:00,528
102,2015-08-05T17:00:00,431
103,2015-08-05T18:00:00,252
104,2015-08-05T19:00:00,175
105,2015-08-05T20:00:00,180
106,2015-08-05T21:00:00,135
107,2015-08-05T22:00:00,25
108,2015-08-05T23:00:00,2
109,2015-08-06T00:00:00,1
110,2015-08-06T02:00:00,2
111,2015-08-06T04:00:00,2
112,2015-08-06T05:00:00,4
113,2015-08-06T06:00:00,5
114,2015-08-06T07:00:00,10
115,2015-08-06T08:00:00,42
116,2015-08-06T09:00:00,132
117,2015-08-06T10:00:00,214
118,2015-08-06T11:00:00,481
119,2015-08-06T12:00:00,554
120,2015-08-06T13:00:00,644
121,2015-08-06T14:00:00,644
122,2015-08-06T15:00:00,835
123,2015-08-06T16:00:00,565
124,2015-08-06T17:00:00,541
125,2015-08-06T18:00:00,335
126,2015-08-06T19:00:00,255
127,2015-08-06T20:00:00,142
128,2015-08-06T21:00:00,130
129,2015-08-06T22:00:00,22
130,2015-08-06T23:00:00,3
131,2015-08-07T00:00:00,1
132,2015-08-07T01:00:00,2
133,2015-08-07T06:00:00,7
134,2015-08-07T07:00:00,8
135,2015-08-07T08:00:00,40
136,2015-08-07T09:00:00,141
137,2015-08-07T10:00:00,189
138,2015-08-07T11:00:00,497
139,2015-08-07T12:00:00,603
140,2015-08-07T13:00:00,588
141,2015-08-07T14:00:00,527
142,2015-08-07T15:00:00,677
143,2015-08-07T16:00:00,579
144,2015-08-07T17:00:00,423
145,2015-08-07T18:00:00,369
146,2015-08-07T19:00:00,218
147,2015-08-07T20:00:00,155
148,2015-08-07T21:00:00,107
149,2015-08-07T22:00:00,38
150,2015-08-07T23:00:00,5
151,2015-08-08T00:00:00,3
152,2015-08-08T01:00:00,1
153,2015-08-08T02:00:00,1
154,2015-08-08T04:00:00,3
155,2015-08-08T05:00:00,3
156,2015-08-08T06:00:00,5
157,2015-08-08T07:00:00,10
158,2015-08-08T08:00:00,3
159,2015-08-08T09:00:00,4
160,2015-08-08T10:00:00,21
161,2015-08-08T11:00:00,468
162,2015-08-08T12:00:00,567
163,2015-08-08T13:00:00,742
164,2015-08-08T14:00:00,706
165,2015-08-08T15:00:00,789
166,2015-08-08T16:00:00,617
167,2015-08-08T17:00:00,23
168,2015-08-08T18:00:00,10
169,2015-08-08T19:00:00,3
170,2015-08-08T20:00:00,8
171,2015-08-08T21:00:00,10
172,2015-08-08T22:00:00,1
173,2015-08-08T23:00:00,1
174,2015-08-09T01:00:00,3
175,2015-08-09T02:00:00,1
176,2015-08-09T04:00:00,2
177,2015-08-09T06:00:00,2
178,2015-08-09T07:00:00,2
179,2015-08-09T08:00:00,2
180,2015-08-09T09:00:00,8
181,2015-08-09T10:00:00,5
182,2015-08-09T11:00:00,305
183,2015-08-09T12:00:00,322
184,2015-08-09T13:00:00,439
185,2015-08-09T14:00:00,438
186,2015-08-09T15:00:00,436
187,2015-08-09T16:00:00,409
188,2015-08-09T17:00:00,20
189,2015-08-09T18:00:00,5
190,2015-08-09T19:00:00,1
191,2015-08-09T20:00:00,2
192,2015-08-10T01:00:00,3
193,2015-08-10T02:00:00,2
194,2015-08-10T03:00:00,1
195,2015-08-10T04:00:00,1
196,2015-08-10T05:00:00,2
197,2015-08-10T06:00:00,7
198,2015-08-10T07:00:00,20
199,2015-08-10T08:00:00,53
200,2015-08-10T09:00:00,172
201,2015-08-10T10:00:00,226
202,2015-08-10T11:00:00,409
203,2015-08-10T12:00:00,558
204,2015-08-10T13:00:00,671
205,2015-08-10T14:00:00,650
206,2015-08-10T15:00:00,572
207,2015-08-10T16:00:00,507
208,2015-08-10T17:00:00,372
209,2015-08-10T18:00:00,222
210,2015-08-10T19:00:00,81
211,2015-08-10T20:00:00,60
212,2015-08-10T21:00:00,38
213,2015-08-10T22:00:00,6
214,2015-08-10T23:00:00,3
215,2015-08-11T05:00:00,3
216,2015-08-11T06:00:00,6
217,2015-08-11T07:00:00,9
218,2015-08-11T08:00:00,48
219,2015-08-11T09:00:00,200
220,2015-08-11T10:00:00,235
221,2015-08-11T11:00:00,497
222,2015-08-11T12:00:00,516
223,2015-08-11T13:00:00,604
224,2015-08-11T14:00:00,648
225,2015-08-11T15:00:00,754
226,2015-08-11T16:00:00,603
227,2015-08-11T17:00:00,547
228,2015-08-11T18:00:00,321
229,2015-08-11T19:00:00,145
230,2015-08-11T20:00:00,85
231,2015-08-11T21:00:00,83
232,2015-08-11T22:00:00,28
233,2015-08-11T23:00:00,5
234,2015-08-12T05:00:00,1
235,2015-08-12T06:00:00,6
236,2015-08-12T07:00:00,11
237,2015-08-12T08:00:00,50
238,2015-08-12T09:00:00,141
239,2015-08-12T10:00:00,233
240,2015-08-12T11:00:00,430
241,2015-08-12T12:00:00,516
242,2015-08-12T13:00:00,543
243,2015-08-12T14:00:00,572
244,2015-08-12T15:00:00,502
245,2015-08-12T16:00:00,529
246,2015-08-12T17:00:00,411
247,2015-08-12T18:00:00,293
248,2015-08-12T19:00:00,147
249,2015-08-12T20:00:00,128
250,2015-08-12T21:00:00,93
251,2015-08-12T22:00:00,20
252,2015-08-12T23:00:00,2
253,2015-08-13T02:00:00,3
254,2015-08-13T04:00:00,1
255,2015-08-13T06:00:00,4
256,2015-08-13T07:00:00,10
257,2015-08-13T08:00:00,55
258,2015-08-13T09:00:00,159
259,2015-08-13T10:00:00,248
260,2015-08-13T11:00:00,440
261,2015-08-13T12:00:00,578
262,2015-08-13T13:00:00,605
263,2015-08-13T14:00:00,521
264,2015-08-13T15:00:00,449
265,2015-08-13T16:00:00,533
266,2015-08-13T17:00:00,386
267,2015-08-13T18:00:00,355
268,2015-08-13T19:00:00,262
269,2015-08-13T20:00:00,212
270,2015-08-13T21:00:00,104
271,2015-08-13T22:00:00,33
272,2015-08-13T23:00:00,1
273,2015-08-14T02:00:00,2
274,2015-08-14T04:00:00,1
275,2015-08-14T05:00:00,5
276,2015-08-14T06:00:00,1
277,2015-08-14T07:00:00,12
278,2015-08-14T08:00:00,50
279,2015-08-14T09:00:00,165
280,2015-08-14T10:00:00,227
281,2015-08-14T11:00:00,490
282,2015-08-14T12:00:00,444
283,2015-08-14T13:00:00,457
284,2015-08-14T14:00:00,549
285,2015-08-14T15:00:00,478
286,2015-08-14T16:00:00,538
287,2015-08-14T17:00:00,419
288,2015-08-14T18:00:00,238
289,2015-08-14T19:00:00,71
290,2015-08-14T20:00:00,54
291,2015-08-14T21:00:00,51
292,2015-08-14T22:00:00,38
293,2015-08-14T23:00:00,4
294,2015-08-15T06:00:00,1
295,2015-08-15T08:00:00,6
296,2015-08-15T09:00:00,5
297,2015-08-15T10:00:00,16
298,2015-08-15T11:00:00,254
299,2015-08-15T12:00:00,453
300,2015-08-15T13:00:00,729
301,2015-08-15T14:00:00,957
302,2015-08-15T15:00:00,955
303,2015-08-15T16:00:00,677
304,2015-08-15T17:00:00,74
305,2015-08-15T18:00:00,6
306,2015-08-15T19:00:00,3
307,2015-08-15T22:00:00,3
308,2015-08-16T06:00:00,1
309,2015-08-16T07:00:00,2
310,2015-08-16T08:00:00,4
311,2015-08-16T09:00:00,1
312,2015-08-16T10:00:00,12
313,2015-08-16T11:00:00,415
314,2015-08-16T12:00:00,679
315,2015-08-16T13:00:00,610
316,2015-08-16T14:00:00,823
317,2015-08-16T15:00:00,871
318,2015-08-16T16:00:00,801
319,2015-08-16T17:00:00,72
320,2015-08-16T18:00:00,5
321,2015-08-17T00:00:00,1
322,2015-08-17T01:00:00,2
323,2015-08-17T04:00:00,2
324,2015-08-17T05:00:00,1
325,2015-08-17T06:00:00,14
326,2015-08-17T07:00:00,13
327,2015-08-17T08:00:00,58
328,2015-08-17T09:00:00,142
329,2015-08-17T10:00:00,197
330,2015-08-17T11:00:00,404
331,2015-08-17T12:00:00,455
332,2015-08-17T13:00:00,481
333,2015-08-17T14:00:00,648
334,2015-08-17T15:00:00,560
335,2015-08-17T16:00:00,623
336,2015-08-17T17:00:00,515
337,2015-08-17T18:00:00,331
338,2015-08-17T19:00:00,236
339,2015-08-17T20:00:00,167
340,2015-08-17T21:00:00,101
341,2015-08-17T22:00:00,29
342,2015-08-17T23:00:00,2
343,2015-08-18T05:00:00,2
344,2015-08-18T06:00:00,8
345,2015-08-18T07:00:00,18
346,2015-08-18T08:00:00,52
347,2015-08-18T09:00:00,203
348,2015-08-18T10:00:00,255
349,2015-08-18T11:00:00,462
350,2015-08-18T12:00:00,562
351,2015-08-18T13:00:00,624
