N,errors,labels
32,1.0162126776508558,min errors
128,41.44572421672592,min errors
512,9.962006254822427,min errors
2048,385.27667217312774,min errors
32,164585.33381470304,mse errors
128,5843871.200460004,mse errors
512,85793494.65524983,mse errors
2048,1194554979.3934836,mse errors
32,1149.321299696745,max errors
128,10081.535620697261,max errors
512,27316.33368012929,max errors
2048,137397.29032096016,max errors
32,305.83771238096904,abs errors
128,1652.8989151236394,abs errors
512,6851.328384844087,abs errors
2048,23863.43043944285,abs errors
