epsilons,errors,labels
2.0,6.187035035034114,min errors
1.4,24.5990323555111,min errors
1.0,9.808611799326854,min errors
0.8,29.597273067332253,min errors
0.3,1.0162126776508558,min errors
2.0,30450307.63778629,mse errors
1.4,108263416.8818588,mse errors
1.0,210849549.81944868,mse errors
0.8,284064231.1547607,mse errors
0.3,974318657.7349056,mse errors
2.0,24398.32243076304,max errors
1.4,39846.5008028521,max errors
1.0,49068.20672036483,max errors
0.8,92502.67118004632,max errors
0.3,137397.29032096016,max errors
2.0,2836.20435252878,abs errors
1.4,5271.444205407404,abs errors
1.0,8475.625496514167,abs errors
0.8,8402.194924970008,abs errors
0.3,15856.400335319084,abs errors
