epsilons,errors,labels
2.0,902.8506136069609,min errors
1.4,348.84641083831843,min errors
1.2,68.38987352988397,min errors
1.0,175.29773634095227,min errors
0.8,32.427991471748555,min errors
0.7,43.52091213391168,min errors
0.5,28.72131206780523,min errors
0.4,36.59839728297993,min errors
0.3,14.718263431607284,min errors
2.0,2910184.5067217373,mse errors
1.4,2797052.311330329,mse errors
1.2,3232494.3127702624,mse errors
1.0,2752654.2753310245,mse errors
0.8,3010312.0490837377,mse errors
0.7,3349788.2649477785,mse errors
0.5,3673652.5346796582,mse errors
0.4,3693773.380313492,mse errors
0.3,3909008.0618269914,mse errors
2.0,2330.5625201577327,max errors
1.4,2669.836228991927,max errors
1.2,3426.3849123321766,max errors
1.0,3277.9569463050507,max errors
0.8,3082.8956293859765,max errors
0.7,3355.4424984273996,max errors
0.5,3973.8680188149974,max errors
0.4,4258.841336024034,max errors
0.3,4436.542178076362,max errors
2.0,1681.2518711812854,abs errors
1.4,1598.4804860047068,abs errors
1.2,1695.5810855746704,abs errors
1.0,1535.6769178862398,abs errors
0.8,1579.632066800947,abs errors
0.7,1697.8720188267505,abs errors
0.5,1718.68400976886,abs errors
0.4,1697.363168022433,abs errors
0.3,1674.1108721858866,abs errors
